Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,LAY,WEH,WED,RSH,Acc_AVG
0.0976563,11.9391,38.9734,1.23791,51.949,66.4808,153.869,73.2268,12.5019,100.638,47.1793,49.5641,0.0976563,19.4578,63.5167,2.01747,84.6636,108.347,250.768,119.341,20.3749,164.014,76.8904,80.777,0.0976563,7.32576,23.9138,0.75957,31.8755,40.7921,94.4131,44.9314,7.67105,61.7506,28.9489,30.4122
0.195313,15.6825,87.3546,21.2088,6.24973,15.361,29.0343,33.4198,17.9104,61.5878,44.1294,25.1215,0.195313,12.7793,71.1829,17.2825,5.09274,12.5173,23.6593,27.2329,14.5947,50.1863,35.9598,20.4709,0.195313,19.2454,107.2,26.0271,7.66957,18.8508,35.6305,41.0122,21.9794,75.5796,54.1549,30.8288
0.292969,33.6486,69.1373,37.9153,63.6497,8.8237,29.9766,61.2962,23.4173,98.7034,106.854,49.6057,0.292969,18.2796,37.5588,20.5974,34.5777,4.79346,16.2847,33.2991,12.7214,53.6205,58.0481,26.9482,0.292969,61.9396,127.266,69.7935,117.165,16.2425,55.1802,112.833,43.106,181.691,196.694,91.3131
0.390625,33.9717,27.4245,47.243,52.3036,24.4422,61.1544,89.122,34.905,132.806,55.088,49.7733,0.390625,13.8413,11.1738,19.2485,21.3104,9.95864,24.9166,36.3116,14.2216,54.1102,22.4449,20.2795,0.390625,83.3791,67.3099,115.952,128.372,59.9901,150.096,218.738,85.6699,325.956,135.206,122.162
0.488281,36.8488,114.452,36.9702,25.6538,25.916,30.6989,4.30518,70.1004,90.6788,62.548,36.9095,0.488281,12.0108,37.3054,12.0504,8.36184,8.4473,10.0063,1.40327,22.8492,29.5567,20.3875,12.0306,0.488281,113.051,351.133,113.423,78.7049,79.5092,94.1831,13.2081,215.065,278.199,191.895,113.237
0.585938,84.4633,113.34,12.5988,45.9795,46.8695,74.8981,42.8611,85.519,173.802,86.6695,79.6807,0.585938,22.9423,30.786,3.42215,12.4892,12.7309,20.3441,11.6421,23.2291,47.209,23.5416,21.6432,0.585938,310.956,417.269,46.3832,169.276,172.553,275.741,157.795,314.843,639.863,319.078,293.349
0.683594,209.185,95.8168,57.1678,92.2787,27.6997,69.597,21.2984,29.94,14.0872,30.3289,43.7483,0.683594,48.7026,22.3082,13.3099,21.4844,6.44907,16.2036,4.95872,6.97066,3.27981,7.0612,10.1855,0.683594,898.48,411.547,245.544,396.35,118.974,298.929,91.4799,128.597,60.5068,130.267,187.906
0.78125,396.191,53.6034,14.0807,89.3393,12.8212,45.7698,19.2614,38.376,113.189,19.7645,42.0729,0.78125,80.7114,10.92,2.86849,18.2,2.61191,9.32415,3.92391,7.81789,23.0588,4.02639,8.57102,0.78125,1944.8,263.125,69.1184,438.543,62.9359,224.672,94.5494,188.378,555.617,97.0188,206.525
0.878906,486.055,99.2488,19.7136,28.9922,61.2284,31.6877,15.6005,86.6073,105.448,71.1177,66.173,0.878906,88.0163,17.9723,3.56979,5.24999,11.0874,5.7381,2.82499,15.6831,19.0949,12.8782,11.9828,0.878906,2684.16,548.085,108.865,160.105,338.123,174.99,86.1511,478.274,582.321,392.735,365.429
0.976563,197.461,306.121,36.4242,41.772,36.0559,77.7325,18.2871,12.8705,138.683,14.2837,39.0981,0.976563,32.1812,49.89,5.93622,6.80778,5.8762,12.6684,2.98033,2.09757,22.6018,2.32787,6.372,0.976563,1211.61,1878.33,223.496,256.31,221.236,476.961,112.208,78.9725,850.947,87.6434,239.903
1.07422,125.223,146.651,21.3407,116.837,14.6914,111.193,66.0281,133.944,178.433,23.1531,114.015,1.07422,18.5529,21.7276,3.16181,17.3105,2.17667,16.4743,9.78265,19.845,26.4365,3.43033,16.8924,1.07422,845.196,989.823,144.039,788.596,99.1601,750.501,445.658,904.06,1204.34,156.272,769.548
1.17188,239.125,154.21,42.2992,32.1125,67.4071,121.095,30.6758,128.787,314.914,40.3336,94.2511,1.17188,32.4761,20.9436,5.74475,4.36127,9.15471,16.4462,4.16615,17.4908,42.7692,5.47779,12.8004,1.17188,1760.7,1135.46,311.454,236.448,496.326,891.636,225.869,948.271,2318.75,296.981,693.981
1.26953,521.185,142.761,55.366,152.107,24.7781,111.047,46.5045,131.117,246.444,12.3002,121.082,1.26953,65.3384,17.8973,6.94097,19.0689,3.10631,13.9214,5.83004,16.4374,30.8954,1.54201,15.1794,1.26953,4157.33,1138.77,441.638,1213.31,197.647,885.785,370.952,1045.88,1965.81,98.1147,965.831
1.36719,434.393,32.1057,30.3656,142.468,16.1296,39.1182,78.5727,69.6,589.127,73.4118,71.5059,1.36719,50.5679,3.73744,3.53488,16.5848,1.87766,4.55377,9.14668,8.10217,68.5805,8.5459,8.32403,1.36719,3731.56,275.797,260.85,1223.84,138.558,336.037,674.962,597.884,5060.77,630.629,614.257
1.46484,467.365,156.751,34.526,139.626,76.661,35.7934,118.342,173.636,272.282,126.674,133.15,1.46484,50.7791,17.0309,3.75125,15.1703,8.3292,3.88895,12.8579,18.8655,29.5833,13.7631,14.4667,1.46484,4301.58,1442.71,317.774,1285.1,705.579,329.439,1089.21,1598.12,2506.05,1165.89,1225.5
1.5625,320.428,149.421,24.6792,315.557,32.4702,126.54,84.8464,50.0882,281.716,238.809,137.98,1.5625,32.6386,15.2199,2.51381,32.1423,3.30738,12.8892,8.64238,5.10194,28.6954,24.3249,14.0545,1.5625,3145.8,1466.94,242.288,3097.97,318.775,1242.3,832.978,491.74,2765.74,2344.5,1354.62
1.66016,1342.83,102.315,28.8654,282.849,91.8411,130.693,66.4418,221.8,195.605,66.5834,116.504,1.66016,128.734,9.80869,2.76725,27.116,8.80457,12.5292,6.36961,21.2634,18.7521,6.38318,11.1689,1.66016,14007.2,1067.26,301.097,2950.42,958.001,1363.26,693.059,2313.61,2040.37,694.536,1215.26
1.75781,988.555,57.0723,37.9398,59.3209,92.7762,147.694,29.6677,112.796,57.8509,84.7546,72.0377,1.75781,89.5052,5.16741,3.43512,5.371,8.40009,13.3724,2.68616,10.2127,5.2379,7.67381,6.5224,1.75781,10918.3,630.344,419.032,655.179,1024.68,1631.23,327.67,1245.79,638.943,936.086,795.632
1.85547,563.455,25.6458,28.5818,294.477,134.523,243.988,81.2109,165.036,340.564,92.4158,149.779,1.85547,48.331,2.1998,2.45163,25.2591,11.5388,20.9284,6.96596,14.1561,29.2122,7.92707,12.8475,1.85547,6568.9,298.985,333.213,3433.09,1568.3,2844.48,946.777,1924.03,3970.38,1077.41,1746.16
1.95313,463.869,143.954,27.0842,222.845,152.686,348.844,142.709,94.3015,587.544,122.183,148.32,1.95313,37.7995,11.7304,2.20702,18.159,12.442,28.4264,11.629,7.68438,47.8774,9.95638,12.0862,1.95313,5692.53,1766.58,332.373,2734.71,1873.74,4280.96,1751.31,1157.25,7210.25,1499.41,1820.16
2.05078,430.159,90.4391,28.697,331.495,64.4175,142.531,300.752,193.69,824.598,28.5804,168.111,2.05078,33.3834,7.0187,2.22709,25.7263,4.99925,11.0614,23.3405,15.0317,63.9946,2.21804,13.0466,2.05078,5542.79,1165.35,369.773,4271.45,830.048,1836.58,3875.33,2495.78,10625.3,368.271,2166.18
2.14844,624.09,123.33,26.7547,384.138,55.4246,285.97,203.116,121.979,432.634,63.8742,163.223,2.14844,46.2322,9.13621,1.98197,28.4567,4.10582,21.1845,15.0467,9.03613,32.0493,4.73176,12.0915,2.14844,8424.61,1664.84,361.163,5185.49,748.178,3860.31,2741.87,1646.6,5840.14,862.24,2203.35
2.24609,829.953,85.262,39.0208,327.982,73.2378,294.636,222.246,221.602,599.301,24.0869,221.924,2.24609,58.8093,6.04154,2.76496,23.2403,5.18953,20.8775,15.748,15.7024,42.4656,1.70676,15.7252,2.24609,11712.8,1203.27,550.686,4628.68,1033.58,4158.08,3136.47,3127.39,8457.71,339.929,3131.93
2.34375,653.619,126.622,25.6025,217.298,123.028,66.4055,131.891,360.855,482.068,81.2028,129.256,2.34375,44.3847,8.59842,1.73857,14.7559,8.35436,4.50934,8.95618,24.5043,32.7354,5.51417,8.7773,2.34375,9625.33,1864.67,377.028,3199.98,1811.74,977.902,1942.25,5314.03,7099.04,1195.81,1903.46
2.44141,393.515,62.6671,101.202,446.636,225.225,55.0878,295.967,112.308,425.151,70.2247,168.766,2.44141,25.6532,4.08526,6.59731,29.1162,14.6824,3.59116,19.2941,7.32132,27.7156,4.57794,11.0019,2.44141,6036.44,961.301,1552.41,6851.32,3454.91,845.036,4540.08,1722.78,6521.74,1077.23,2588.84
2.53906,247.074,24.4471,66.1323,241.743,174.655,197.164,231.715,373.563,591.155,100.39,214.439,2.53906,15.4873,1.5324,4.14534,15.1531,10.9478,12.3588,14.5245,23.4159,37.0551,6.29271,13.4416,2.53906,3941.68,390.014,1055.04,3856.62,2786.35,3145.44,3696.64,5959.6,9430.93,1601.56,3421.04
2.63672,626.624,176.092,47.4505,187.471,156.665,156.286,212.772,400.824,649.217,84.7905,181.781,2.63672,37.8236,10.6291,2.86416,11.3159,9.45645,9.4336,12.8431,24.1941,39.1874,5.11804,10.9725,2.63672,10381.3,2917.32,786.111,3105.82,2595.47,2589.19,3524.99,6640.45,10755.6,1404.72,3011.57
2.73438,458.052,58.1905,40.0816,332.748,143.9,286.273,167.537,224.155,439.318,162.655,195.846,2.73438,26.661,3.38699,2.33296,19.3677,8.37571,16.6626,9.75152,13.047,25.5706,9.46735,11.3993,2.73438,7869.6,999.747,688.625,5716.8,2472.28,4918.35,2878.38,3851.12,7547.73,2794.5,3364.75
2.83203,437.483,137.799,66.3681,230.024,24.9088,269.789,202.712,138.38,183.329,90.5114,160.854,2.83203,24.5857,7.74405,3.72976,12.9269,1.39983,15.1617,11.392,7.77668,10.3027,5.08658,9.0397,2.83203,7784.65,2452.02,1180.97,4093.09,443.232,4800.68,3607.09,2462.35,3262.18,1610.58,2862.27
