Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Acc_AVG
0.0976563,840.728,2631.15,706.939,148.558,276.349,198.644,87.1434,895.481,314.34,314.34,0.0976563,1370.17,4288.11,1152.13,242.112,450.379,323.739,142.022,1459.41,512.295,512.295,0.0976563,515.864,1614.46,433.772,91.1541,169.566,121.886,53.4705,549.46,192.877,192.877
0.195313,1357.84,3678.31,1008.86,960.734,1466.83,3257.02,145.605,2728.67,1624.73,1466.83,0.195313,1106.47,2997.36,822.093,782.876,1195.28,2654.06,118.65,2223.52,1323.95,1195.28,0.195313,1666.32,4513.96,1238.06,1179,1800.07,3996.97,178.684,3348.59,1993.85,1800.07
0.292969,231.741,4400.19,2790.72,4966.89,2897.13,813.336,327.118,3507.13,1574.88,2790.72,0.292969,125.893,2390.4,1516.06,2698.26,1573.86,441.844,177.707,1905.25,855.553,1516.06,0.292969,426.584,8099.77,5137.1,9142.95,5332.96,1497.17,602.152,6455.85,2899.01,5137.1
0.390625,2878.54,3689,1432.03,4366.3,1719.83,2334.44,998.444,5846.45,2146.76,2334.44,0.390625,1172.82,1503.03,583.462,1778.99,700.721,951.137,406.803,2382.06,874.67,951.137,0.390625,7065.01,9054.16,3514.73,10716.5,4221.09,5729.58,2450.55,14349.3,5268.95,5729.58
0.488281,2979.19,4514.29,755.128,2903.24,334.479,1094.42,1287.89,3658.42,507.455,1287.89,0.488281,971.064,1471.43,246.133,946.309,109.023,356.726,419.788,1192.46,165.405,419.788,0.488281,9140.03,13849.7,2316.7,8907.03,1026.17,3357.64,3951.2,11223.9,1556.85,3951.2
0.585938,11102.2,4684.93,1031.41,2840.61,1846.43,5002.41,1137.24,13460.3,2148.63,2840.61,0.585938,3015.62,1272.54,280.158,771.579,501.536,1358.78,308.902,3656.16,583.619,771.579,0.585938,40873.3,17247.8,3797.21,10457.9,6797.74,18416.6,4186.8,49555,7910.28,10457.9
0.683594,20548.4,3489.27,3460.08,10422.8,1677.66,5511.67,1204.12,7039.91,3596.36,3596.36,0.683594,4784.1,812.376,805.58,2426.65,390.595,1283.23,280.345,1639.04,837.308,837.308,0.683594,88258.4,14986.9,14861.6,44767.6,7205.8,23673.4,5171.88,30237.5,15446.9,15446.9
0.78125,38872.4,4689.52,1151.54,6682.35,445.921,431.665,481.324,8516.84,3504.62,3504.62,0.78125,7919.02,955.342,234.589,1361.32,90.8423,87.9381,98.0545,1735.04,713.956,713.956,0.78125,190814,23019.6,5652.59,32801.9,2188.91,2118.93,2362.69,41806.9,17203.3,17203.3
0.878906,40523.1,10029.9,910.412,1999.14,4924.61,1444.16,5860.55,3481.11,5125.33,4924.61,0.878906,7338.04,1816.24,164.86,362.01,891.762,261.513,1061.25,630.369,928.11,891.762,0.878906,223782,55388.2,5027.59,11039.9,27195.3,7975.13,32363.9,19223.8,28303.8,27195.3
0.976563,17342.2,21530.1,2772.68,3632.56,1640.69,5316.21,3483.5,7268.02,2330.46,3632.56,0.976563,2826.34,3508.86,451.877,592.015,267.392,866.408,567.722,1184.5,379.805,592.015,0.976563,106411,132107,17013,22289.1,10067.2,32619.9,21374.5,44596,14299.5,22289.1
1.07422,7185.05,10111.6,1713.75,9496.29,1145.47,6785.11,10181.4,8831.6,1690.94,7185.05,1.07422,1064.53,1498.12,253.908,1406.96,169.711,1005.27,1508.46,1308.48,250.527,1064.53,1.07422,48495.6,68248.1,11567,64095.3,7731.34,45796.2,68719.3,59609,11413,48495.6
1.17188,19901.3,11521.5,1720.94,601.348,4425.91,7513.29,6494.72,27379.5,4559.23,6494.72,1.17188,2702.84,1564.75,233.725,81.6704,601.093,1020.4,882.063,3718.47,619.199,882.063,1.17188,146535,84833.7,12671.5,4427.79,32588.5,55321.2,47821.3,201598,33570.1,47821.3
1.26953,40445.6,10508.9,4002.75,9832.52,1850.29,3556.66,6693.57,20929.9,2154.03,6693.57,1.26953,5070.47,1317.45,501.805,1232.65,231.962,445.881,839.141,2623.88,270.04,839.141,1.26953,322623,83826.7,31928.7,78431,14759.2,28370.4,53392.6,166952,17182,53392.6
1.36719,29274.2,2791.42,2260.53,8385.72,602.32,3294.64,2994.16,45600.1,3034.63,3034.63,1.36719,3407.83,324.951,263.15,976.185,70.1164,383.531,348.552,5308.33,353.263,353.263,1.36719,251474,23979.1,19418.7,72035.8,5174.11,28301.9,25720.7,391719,26068.4,26068.4
1.46484,32369.5,10356.8,2984.7,6920.71,3246.14,3221.39,9823.53,19469.3,7185.02,7185.02,1.46484,3516.94,1125.26,324.287,751.933,352.692,350.004,1067.32,2115.34,780.651,780.651,1.46484,297925,95322.7,27470.8,63697.4,29877.1,29649.3,90414.7,179193,66130.1,66130.1
1.5625,27891.5,3885.7,2086.11,16976.4,3019.44,4315.61,2019.07,20915.4,15069.6,4315.61,1.5625,2841.01,395.795,212.49,1729.2,307.557,439.585,205.66,2130.43,1534.98,439.585,1.5625,273824,38147.8,20480.3,166666,29643.2,42368.4,19822.1,205337,147946,42368.4
1.66016,98117.4,8013.83,2222.74,15744.1,4291.11,9108.31,16243.9,10886.7,4542.22,9108.31,1.66016,9406.27,768.266,213.089,1509.35,411.378,873.191,1557.26,1043.68,435.451,873.191,1.66016,1.02347e+06,83592.9,23185.6,164228,44760.8,95009.4,169442,113560,47380.2,95009.4
1.75781,52556.5,6312.97,2013.86,4348.5,4100.79,7781.86,10963.6,7489.87,7748.3,7489.87,1.75781,4758.54,571.586,182.338,393.72,371.291,704.581,992.657,678.144,701.543,678.144,1.75781,580469,69724.6,22242.4,48027.8,45291.8,85948,121089,82723.1,85577.3,82723.1
1.85547,35997.5,3282.73,592.716,12636,7014.82,9903.77,7109.28,9817.34,6079.64,7109.28,1.85547,3087.73,281.58,50.8409,1083.87,601.704,849.507,609.807,842.094,521.488,609.807,1.85547,419668,38270.9,6910.04,147314,81780.5,115461,82881.8,114453,70878,82881.8
1.95313,27501.1,5562.51,288.112,8761.81,7681.79,15921.2,1649.15,33211.4,6766.87,7681.79,1.95313,2240.99,453.274,23.4775,713.976,625.968,1297.38,134.385,2706.31,551.414,625.968,1.95313,337489,68262.3,3535.67,107524,94269.7,195383,20238.1,407565,83041.9,94269.7
2.05078,24562.8,6444.81,2069.37,12390.3,2459.8,6166.41,8216.42,32140.4,2967.69,6444.81,2.05078,1906.25,500.162,160.597,961.574,190.898,478.556,637.651,2494.32,230.314,500.162,2.05078,316503,83044.2,26664.7,159654,31695.6,79456.9,105872,414144,38240,83044.2
2.14844,27731.1,6633.02,2725.97,13440.6,4315.58,17084.4,5519.98,20265.3,2985.58,6633.02,2.14844,2054.31,491.37,201.938,995.67,319.695,1265.61,408.917,1501.24,221.17,491.37,2.14844,374343,89539.3,36798,181435,58256.1,230623,74514.4,273562,40302.5,89539.3
2.24609,26531,3305.67,887.878,12018.5,3425.57,8096.55,7123.03,16913,1443.84,7123.03,2.24609,1879.95,234.235,62.9138,851.611,242.731,573.71,504.728,1198.43,102.308,504.728,2.24609,374422,46651.6,12530.3,169612,48343.7,114264,100525,238687,20376.3,100525
2.34375,12225.6,2368.96,1185.33,9018.83,3453.47,5219.28,11583.3,16052.1,3527.08,5219.28,2.34375,830.196,160.867,80.4911,612.434,234.511,354.421,786.575,1090.03,239.51,354.421,2.34375,180037,34885.9,17455.4,132813,50856.5,76860.2,170578,236386,51940.5,76860.2
2.44141,6869.73,1577.68,2819.53,15089.3,9697.28,3535.16,3753.21,13420,2065.83,3753.21,2.44141,447.837,102.849,183.805,983.67,632.164,230.457,244.671,874.846,134.671,244.671,2.44141,105380,24201.3,43251.1,231467,148754,54228.7,57573.5,205860,31689.4,57573.5
2.53906,26764.6,5364.6,1327.17,9441,4025.72,12335.3,14896,12432,4377.11,9441,2.53906,1677.67,336.267,83.1904,591.786,252.343,773.207,933.719,779.267,274.369,591.786,2.53906,426987,85583.7,21172.9,150616,64224,196790,237642,198332,69829.8,150616
2.63672,35914.1,4897.69,1690.38,7648.36,1367.4,5729.94,12302.8,21165.2,5630.43,5729.94,2.63672,2167.81,295.63,102.033,461.663,82.5377,345.865,742.608,1277.55,339.858,345.865,2.63672,594989,81140.1,28004.5,126710,22653.7,94928,203820,350644,93279.3,94928
2.73438,19438.7,2706.04,2175.03,10688.7,6135.01,10150.4,3557.76,17601.2,4740.24,6135.01,2.73438,1131.43,157.506,126.598,622.135,357.089,590.806,207.08,1024.48,275.907,357.089,2.73438,333968,46491.3,37368.2,183637,105403,174390,61124.4,302399,81440,105403
2.83203,19273.7,8223.14,2438.19,6248.24,1380.12,14270.7,9158.78,7930.29,4171.38,7930.29,2.83203,1083.14,462.125,137.022,351.14,77.56,801.985,514.707,445.668,234.424,445.668,2.83203,342959,146324,43385.6,111182,24558,253935,162973,141113,74226.3,141113
2.92969,5803.21,17937.2,3541.96,6588.62,4670.45,8812.37,7767.66,10678.7,8299.91,7767.66,2.92969,315.259,974.439,192.416,357.926,253.722,478.731,421.977,580.119,450.892,421.977,2.92969,106824,330185,65199.5,121282,85972.5,162216,142985,196571,152783,142985
3.02734,5503.4,9701.07,3486.43,11265.2,2231.16,11263.7,8205.79,16851.2,4704.68,8205.79,3.02734,289.327,510.009,183.29,592.241,117.298,592.163,431.399,885.911,247.337,431.399,3.02734,104682,184527,66316.7,214280,42439.7,214252,156085,320533,89489.4,156085
3.125,14301.5,1484.93,730.105,14003.6,1821.84,10084.2,9763.09,15579.4,3775.26,9763.09,3.125,728.372,75.6268,37.1839,713.197,92.7855,513.585,497.23,793.452,192.272,497.23,3.125,280810,29156.5,14335.6,274960,35771.7,198003,191698,305901,74127,191698
3.22266,5890.42,5013.12,1596.37,10134.2,3584.32,13739.8,9932.67,11443.7,3207.24,5890.42,3.22266,290.906,247.579,78.8388,500.49,177.016,678.557,490.537,565.159,158.394,290.906,3.22266,119272,101508,32324.2,205203,72577.3,278211,201122,231717,64941.9,119272
3.32031,3870.21,7849.35,1858.46,2803.51,2322.53,6519.95,8082.65,9978.64,5235.95,5235.95,3.32031,185.514,376.249,89.083,134.383,111.327,312.525,387.431,478.313,250.979,250.979,3.32031,80740.9,163754,38771.5,58487.3,48452.9,136020,168621,208176,109233,109233
3.41797,8179.92,1096.76,2091.8,1881.63,2456.66,1141.93,4254.9,8216.59,8355.15,2456.66,3.41797,380.891,51.0697,97.4029,87.6166,114.393,53.1731,198.126,382.599,389.051,114.393,3.41797,175670,23553.7,44922.9,40409.4,52758.6,24523.8,91377.1,176457,179433,52758.6
3.51563,3445.03,4377.16,2922.97,10183.5,4458.83,7858.72,3406.47,28077.9,5160.22,4458.83,3.51563,155.959,198.157,132.325,461.014,201.855,355.77,154.213,1271.11,233.607,201.855,3.51563,76098.5,96688.5,64566.5,224946,98492.6,173594,75246.6,620221,113986,98492.6
3.61328,4213.01,1740.09,1447.66,6306.17,2919.36,6062.59,4144.4,37021.6,6361.62,4213.01,3.61328,185.571,76.646,63.7655,277.769,128.589,267.04,182.549,1630.7,280.212,185.571,3.61328,95647.6,39505.1,32866.2,143168,66277.9,137639,94090,840499,144427,95647.6
3.71094,4193.47,6496.15,2012.85,6032.61,3370.92,3678.18,11129.5,24612.5,2229.19,4193.47,3.71094,179.85,278.607,86.3274,258.727,144.572,157.75,477.321,1055.58,95.6058,179.85,3.71094,97777.2,151468,46932.7,140659,78598,85762.2,259500,573877,51977,97777.2
3.80859,4388.47,3942.82,1462.34,4327.54,2994.65,1621.87,8120.23,18369.9,6179.86,4327.54,3.80859,183.387,164.764,61.1087,180.841,125.142,67.7753,339.331,767.648,258.246,180.841,3.80859,105016,94352,34993.9,103558,71662.3,38811.5,194318,439593,147885,103558
3.90625,9427.84,6042.68,1139.16,4460.16,2365.38,3225.96,9242.69,15243.2,5679.57,5679.57,3.90625,384.125,246.201,46.4134,181.723,96.3743,131.438,376.581,621.065,231.407,231.407,3.90625,231394,148310,27959.1,109469,58055.2,79177.1,226850,374125,139398,139398
4.00391,5848.54,12021.4,1718.38,4104.13,2267.51,6121.57,6540.46,7903.31,4626.2,5848.54,4.00391,232.479,477.851,68.3054,163.139,90.1334,243.332,259.983,314.156,183.891,232.479,4.00391,147133,302427,43229.7,103249,57044.5,154002,164540,198826,116383,147133
4.10156,3896.94,9983.66,4631.11,2789.29,1860.1,2644,2610.74,9742.18,5950.14,3896.94,4.10156,151.215,387.401,179.703,108.234,72.1782,102.596,101.306,378.031,230.886,151.215,4.10156,100427,257288,119348,71882.5,47936.3,68138.2,67281,251065,153340,100427
4.19922,4403.51,9353.96,5410.95,6211.74,3515.99,2947.41,1086.91,16844.9,3367.87,4403.51,4.19922,166.898,354.525,205.081,235.432,133.26,111.71,41.1952,638.438,127.646,166.898,4.19922,116184,246799,142765,163893,92767.5,77765.9,28677.6,444443,88859.5,116184
4.29688,8018.28,3659.47,7089.13,9949.91,2739.74,3017.96,3477.29,22389.5,4672.33,4672.33,4.29688,296.995,135.546,262.579,368.542,101.479,111.784,128.798,829.301,173.061,173.061,4.29688,216478,98798.6,191393,268628,73967.8,81479.2,93880.2,604473,126144,126144
