Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
0.0976563,10.0915,4.17825,31.3571,6.62855,31.7013,10.0915,0.0976563,16.4466,6.80949,51.1041,10.8028,51.6651,16.4466,0.0976563,6.19208,2.56374,19.2405,4.06722,19.4517,6.19208
0.195313,26.6117,45.4116,16.6518,72.389,74.987,45.4116,0.195313,21.6852,37.0047,13.5691,58.9878,61.1049,37.0047,0.195313,32.6575,55.7285,20.4348,88.8346,92.0229,55.7285
0.292969,17.7358,51.756,22.6794,30.7482,36.7786,30.7482,0.292969,9.63494,28.1164,12.3206,16.7039,19.9799,16.7039,0.292969,32.6476,95.2712,41.7477,56.6006,67.7012,56.6006
0.390625,48.4505,57.6977,60.3846,32.1418,24.1828,48.4505,0.390625,19.7405,23.5082,24.6029,13.0957,9.85294,19.7405,0.390625,118.915,141.612,148.206,78.8878,59.3534,118.915
0.488281,34.3806,41.2914,56.2457,60.5808,67.2951,56.2457,0.488281,11.2063,13.4589,18.3332,19.7463,21.9348,18.3332,0.488281,105.478,126.68,172.56,185.86,206.459,172.56
0.585938,51.536,48.3688,54.9869,35.8677,26.7321,48.3688,0.585938,13.9984,13.1382,14.9358,9.74255,7.26109,13.1382,0.585938,189.733,178.072,202.437,132.049,98.4156,178.072
0.683594,116.864,72.286,66.0878,14.6887,26.2481,66.0878,0.683594,27.2084,16.8297,15.3866,3.41984,6.11111,15.3866,0.683594,501.948,310.479,283.857,63.0901,112.739,283.857
0.78125,197.864,98.6593,28.9015,26.9018,15.9079,28.9015,0.78125,40.3084,20.0987,5.88776,5.48039,3.24074,5.88776,0.78125,971.261,484.293,141.87,132.054,78.0878,141.87
0.878906,226.259,32.7412,22.1853,10.2599,44.4198,32.7412,0.878906,40.9716,5.92888,4.01737,1.8579,8.04368,5.92888,0.878906,1249.48,180.808,122.514,56.6588,245.301,180.808
0.976563,79.6691,139.853,30.2987,30.1776,15.6897,30.2987,0.976563,12.9841,22.7925,4.93793,4.91819,2.55703,4.93793,0.976563,488.844,858.126,185.911,185.168,96.271,185.911
1.07422,38.7462,95.0037,61.3294,9.59942,22.4761,38.7462,1.07422,5.74059,14.0756,9.08648,1.42224,3.33003,5.74059,1.07422,261.518,641.229,413.943,64.7914,151.703,261.518
1.17188,115.472,75.6274,22.1503,30.0028,26.92,30.0028,1.17188,15.6825,10.2711,3.00828,4.07474,3.65606,4.07474,1.17188,850.234,556.853,163.095,220.914,198.215,220.914
1.26953,238.351,78.6249,81.3284,52.2938,27.4879,78.6249,1.26953,29.8808,9.85682,10.1957,6.55582,3.44603,9.85682,1.26953,1901.25,627.167,648.732,417.132,219.263,627.167
1.36719,231.232,23.1154,87.7525,38.9241,2.48577,38.9241,1.36719,26.9179,2.69088,10.2153,4.53117,0.28937,4.53117,1.36719,1986.35,198.568,753.82,334.37,21.3535,334.37
1.46484,249.692,71.4561,63.7639,82.6759,18.7325,71.4561,1.46484,27.129,7.76369,6.92794,8.98272,2.03528,7.76369,1.46484,2298.14,657.674,586.876,760.94,172.412,657.674
1.5625,157.735,74.0408,148.775,106.441,24.0185,106.441,1.5625,16.0667,7.54173,15.1541,10.842,2.4465,10.842,1.5625,1548.56,726.894,1460.6,1044.98,235.801,1044.98
1.66016,725.385,64.746,131.995,58.2691,45.0353,64.746,1.66016,69.5408,6.20703,12.654,5.58611,4.31742,6.20703,1.66016,7566.54,675.37,1376.84,607.809,469.766,675.37
1.75781,496.198,29.7932,20.0918,44.4025,40.9505,40.9505,1.75781,44.9265,2.69752,1.81914,4.02027,3.70772,3.70772,1.75781,5480.34,329.056,221.907,490.411,452.285,452.285
1.85547,286.713,25.8588,185.1,77.4097,51.6307,77.4097,1.85547,24.5931,2.21807,15.8772,6.6399,4.42868,6.6399,1.85547,3342.57,301.469,2157.95,902.462,601.923,902.462
1.95313,222.437,90.2754,119.025,53.9547,65.9581,90.2754,1.95313,18.1258,7.3563,9.69902,4.39663,5.37475,7.3563,1.95313,2729.71,1107.85,1460.65,662.124,809.428,1107.85
2.05078,218.465,72.2945,160.668,66.4342,25.0414,72.2945,2.05078,16.9544,5.61055,12.469,5.15575,1.94339,5.61055,2.05078,2815.01,931.546,2070.28,856.033,322.669,931.546
2.14844,307.708,66.0376,187.926,14.6029,32.6505,66.0376,2.14844,22.7948,4.89202,13.9214,1.08177,2.41873,4.89202,2.14844,4153.76,891.443,2536.82,197.125,440.751,891.443
2.24609,458.319,13.0687,142.838,41.948,43.2326,43.2326,2.24609,32.4758,0.926028,10.1213,2.97238,3.0634,3.0634,2.24609,6468.08,184.433,2015.82,591.997,610.125,610.125
2.34375,360.003,82.5255,69.9324,27.2833,59.8291,69.9324,2.34375,24.4464,5.60398,4.74884,1.8527,4.06276,4.74884,2.34375,5301.49,1215.29,1029.84,401.779,881.056,1029.84
2.44141,248.296,17.7464,224.762,25.4618,123.444,123.444,2.44141,16.1864,1.15689,14.6522,1.65985,8.04733,8.04733,2.44141,3808.82,272.227,3447.8,390.579,1893.61,1893.61
2.53906,231.166,30.6106,101.319,88.5957,96.5659,96.5659,2.53906,14.4901,1.91875,6.35091,5.55341,6.053,6.053,2.53906,3687.89,488.343,1616.38,1413.4,1540.55,1540.55
2.63672,345.15,88.873,89.0218,34.0823,34.0646,88.873,2.63672,20.8336,5.36446,5.37344,2.05724,2.05617,5.36446,2.63672,5718.09,1472.36,1474.82,564.641,564.348,1472.36
2.73438,278.869,27.7181,144.743,55.0415,76.7057,76.7057,2.73438,16.2316,1.61334,8.42481,3.20371,4.46467,4.46467,2.73438,4791.13,476.213,2486.77,945.646,1317.85,1317.85
2.83203,349.754,70.3812,134.141,78.4551,47.4311,78.4551,2.83203,19.6555,3.95529,7.53847,4.40903,2.66554,4.40903,2.83203,6223.59,1252.38,2386.93,1396.04,843.998,1396.04
2.92969,141.912,110.111,76.1926,53.4926,85.6077,85.6077,2.92969,7.70935,5.98179,4.13915,2.90598,4.65063,4.65063,2.92969,2612.28,2026.91,1402.54,984.68,1575.85,1575.85
3.02734,76.4045,193.053,183.583,47.1703,90.7141,90.7141,3.02734,4.01677,10.1493,9.65139,2.47986,4.76906,4.76906,3.02734,1453.32,3672.14,3491.99,897.244,1725.51,1725.51
3.125,272.07,107.815,284.448,220.46,15.9383,220.46,3.125,13.8564,5.49098,14.4868,11.2279,0.811732,11.2279,3.125,5342.08,2116.94,5585.13,4328.72,312.948,4328.72
3.22266,152.093,104.805,217.979,198.964,100.775,152.093,3.22266,7.51131,5.17592,10.7652,9.82607,4.97692,7.51131,3.22266,3079.66,2122.15,4413.75,4028.73,2040.55,3079.66
3.32031,135.9,168.453,95.1157,116.683,50.5096,116.683,3.32031,6.51421,8.0746,4.55925,5.59305,2.42111,5.59305,3.32031,2835.17,3514.3,1984.32,2434.26,1053.74,2434.26
3.41797,160.36,43.7579,60.0156,188.813,94.1603,94.1603,3.41797,7.46701,2.03755,2.79458,8.79191,4.3845,4.3845,3.41797,3443.84,939.733,1288.88,4054.89,2022.16,2022.16
3.51563,36.136,95.3142,191.178,173.489,66.0821,95.3142,3.51563,1.6359,4.31494,8.65476,7.85395,2.99159,4.31494,3.51563,798.22,2105.43,4222.99,3832.24,1459.71,2105.43
3.61328,185.678,95.9538,132.855,90.2258,54.4094,95.9538,3.61328,8.1786,4.2265,5.8519,3.9742,2.39658,4.2265,3.61328,4215.44,2178.43,3016.2,2048.39,1235.25,2178.43
